key,answer
deadline,"Deadlines vary by program. For undergraduate fall entry, applications are typically due by January 15th. Graduate deadlines vary from December to March."
requirements,"General requirements include official transcripts, standardized test scores (if applicable), letters of recommendation, and a personal statement."
fees,"The non-refundable application fee is $75 for domestic applicants and $100 for international applicants."
scholarship,"We offer merit-based and need-based scholarships. Visit the Financial Aid page to apply before the March 1st deadline."
programs,"We offer over 80 undergraduate majors and 50 graduate programs. Check the Course Catalog for a full list."
contact,"Contact Admissions at admissions@example.edu or +1-555-123-4567 (Mon-Fri, 9AM-5PM)."
documents,"Submit transcripts, test scores, letters of recommendation, and your personal statement via the applicant portal."
gpa,"While we review applications holistically, a GPA of 3.0 or higher is recommended for most undergraduate programs."
application status,"Log in to the Applicant Portal to view the real-time status of your application and checklist items."
waitlist,"If waitlisted, you will be notified if a spot opens up between May and August. You can submit a letter of continued interest."
gap year,"Accepted students may request to defer their enrollment for up to one year to take a gap year."
residency,"In-state residency is determined by the Registrar. You must live in the state for 12 consecutive months prior to enrollment."
student visa,"International students need an F-1 or J-1 visa. Once admitted, we will issue an I-20 form for your application."
english requirements,"TOEFL (min 80) or IELTS (min 6.5) is required for non-native English speakers. Duolingo scores are also accepted."
standardized tests,"SAT/ACT scores are optional for undergraduate programs. GRE/GMAT requirements vary by graduate department."
recommendation letters,"Submit 2-3 letters from teachers or employers who can speak to your academic potential."
cv,"A CV or resume is required for graduate applicants and recommended for transfer students."
scholarship deadlines,"The priority deadline for scholarship consideration is December 1st. Regular deadline is March 1st."
contact hours,"Office hours are Monday through Friday, 9:00 AM to 5:00 PM EST."
tuition,"Undergraduate tuition is approximately $15,000 per semester for in-state and $28,000 for out-of-state students."
financial aid,"Apply for financial aid using the FAFSA code 001234. Packages typically include grants, loans, and work-study."
fafsa,"The Free Application for Federal Student Aid (FAFSA) opens on October 1st. Submit it early for the best aid package."
loans,"Federal student loans and private loans are accepted. Contact the Financial Aid Office for guidance."
work study,"Federal Work-Study positions are available on campus for eligible students. Jobs are posted on the Student Employment portal."
payment plan,"We offer interest-free monthly payment plans to split tuition costs over the semester."
refund policy,"Tuition is 100% refundable if you withdraw before the first day of classes. The refund percentage drops weekly thereafter."
housing,"On-campus housing is guaranteed for freshmen. Upperclassmen enter a lottery system for dorm rooms."
dorm,"Dorms include twin XL beds, desks, chairs, and closets. Most have shared bathrooms and common areas."
roommate,"You can request a specific roommate or fill out a lifestyle questionnaire to be matched with someone compatible."
meal plan,"We offer 3 meal plans: Unlimited, 14-meals-per-week, and a block plan for commuters."
dining,"The main dining hall is open 7AM-9PM. There are also cafes and a food court in the student union."
gym,"The Recreation Center has a weight room, cardio machines, pool, and basketball courts. It's free for full-time students."
sports,"We have varsity teams in NCAA Division I, plus various intramural and club sports."
clubs,"There are over 200 student organizations, including academic clubs, cultural groups, and special interest societies."
greek life,"Fraternities and sororities are active on campus. Recruitment takes place at the start of the fall semester."
transportation,"The campus shuttle runs every 15 minutes. City buses also stop at the main entrance."
parking,"Student parking permits are sold by semester. Freshmen residents are generally not eligible for parking permits."
safety,"Campus Safety operates 24/7. Blue emergency phones are located throughout campus."
police,"The University Police Department is located in Building A. For emergencies, dial 911 or the campus emergency line."
escort service,"Campus Safety offers a walking escort service from 8PM to 4AM for students studying late."
health center,"The Student Health Center provides basic medical care, vaccinations, and check-ups."
insurance,"All full-time students must have health insurance. You can enroll in the university plan or waive it with proof of private coverage."
counseling,"Counseling and Psychological Services (CAPS) offers free confidential therapy sessions for students."
library,"The main library is open 24/7 during finals week. Regular hours are 7AM-Midnight."
study rooms,"Group study rooms in the library can be booked online up to a week in advance."
printing,"Printing is available in the library and computer labs using your student ID card credits."
wifi,"Select the 'Edu-Guest' or 'Student-Secure' network. Log in with your NetID and password."
it support,"The IT Help Desk is located in the Library basement. Call 555-HELP for password resets."
password,"You can reset your NetID password at the self-service portal: password.example.edu."
laptop,"The university recommends laptops with at least 16GB RAM and an i5 processor. Discounts are available at the campus store."
early decision,"Early Decision is binding and applications are due November 1st. You will receive a decision by December 15th."
early action,"Early Action is non-binding. Apply by November 15th to receive a decision by January 15th."
regular decision,"Regular Decision applications are due January 15th with decisions released by April 1st."
rolling admission,"We review applications as they arrive. You will typically receive a decision within 4-6 weeks of completion."
transfer,"Transfer applicants need a minimum 2.5 GPA and 24 transferable credits. Apply by March 1st for fall."
credits,"Most courses worth 3 credits or more with a grade of C or better will transfer."
orientation,"New Student Orientation is mandatory and takes place the week before classes start in August."
registration,"Course registration opens in November for Spring and April for Fall based on earned credit hours."
academic advisor,"Every student is assigned an academic advisor to help with course selection and degree planning."
add drop,"The add/drop period lasts for the first 10 days of the semester. Changes usually don't affect your transcript."
withdrawal,"Withdrawing from a class after the add/drop period results in a 'W' on your transcript."
transcript,"Official transcripts can be ordered through the Registrar's website for a $10 fee."
diploma,"Diplomas are mailed 6-8 weeks after commencement. Ensure your mailing address is correct in the portal."
graduation,"Graduation ceremonies are held in May and December. You must apply to graduate one semester prior."
major,"You must declare a major by the end of your sophomore year. Check the catalog for specific major requirements."
minor,"Minors typically require 15-18 credits. You can declare a minor through your academic advisor."
double major,"Double majoring is possible but requires careful planning. Speak with advisors from both departments."
internship,"The Career Center helps students find internships. Many majors offer academic credit for approved internships."
career fair,"We host a Fall and Spring Career Fair with over 100 employers recruiting for jobs and internships."
alumni,"The Alumni Association offers networking events and career mentorship for graduates."
visit,"Book a campus tour online. Tours run daily at 10AM and 2PM and include an information session."
virtual tour,"Can't make it to campus? Check out our 360-degree virtual tour on the website."
map,"Interactive campus maps are available on our app and website to help you navigate buildings."
bookstore,"The campus bookstore sells textbooks, school supplies, and university merchandise."
textbooks,"You can buy or rent textbooks at the bookstore. A price match program is available for some titles."
